"filename", "language", "TypeScript", "XML", "CSS", "Pug", "comment", "blank", "total"
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\controllers\order\index.ts", "TypeScript", 221, 0, 0, 0, 0, 10, 231
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\controllers\organization\index.ts", "TypeScript", 21, 0, 0, 0, 0, 4, 25
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\controllers\report\index.ts", "TypeScript", 524, 0, 0, 0, 0, 34, 558
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\controllers\user-controller\index.ts", "TypeScript", 88, 0, 0, 0, 0, 14, 102
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\index.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\messages\report\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\messages\user\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\middleware\index.ts", "TypeScript", 60, 0, 0, 0, 0, 5, 65
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\middleware\validate\order.ts", "TypeScript", 44, 0, 0, 0, 0, 3, 47
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\middleware\validate\organization.ts", "TypeScript", 16, 0, 0, 0, 0, 1, 17
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\middleware\validate\report.ts", "TypeScript", 63, 0, 0, 0, 0, 5, 68
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\middleware\validate\user.ts", "TypeScript", 30, 0, 0, 0, 0, 2, 32
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\routers\order\index.ts", "TypeScript", 30, 0, 0, 0, 143, 8, 181
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\routers\organization\index.ts", "TypeScript", 12, 0, 0, 0, 24, 4, 40
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\routers\report\index.ts", "TypeScript", 36, 0, 0, 0, 106, 14, 156
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\routers\user-router\index.ts", "TypeScript", 8, 0, 0, 0, 52, 7, 67
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\server.ts", "TypeScript", 26, 0, 0, 0, 6, 12, 44
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\swagger\index.ts", "TypeScript", 48, 0, 0, 0, 2, 7, 57
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\swagger\schema\login.schema.ts", "TypeScript", 19, 0, 0, 0, 0, 1, 20
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\utility\Config.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\utility\createError.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\utility\types\report.ts", "TypeScript", 36, 0, 0, 0, 118, 4, 158
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\utility\validators\order.ts", "TypeScript", 35, 0, 0, 0, 178, 8, 221
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\utility\validators\organization.ts", "TypeScript", 5, 0, 0, 0, 35, 2, 42
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\utility\validators\report.ts", "TypeScript", 50, 0, 0, 0, 123, 5, 178
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\utility\validators\user.ts", "TypeScript", 12, 0, 0, 0, 58, 3, 73
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\view\carpass_logo.svg", "XML", 0, 6, 0, 0, 0, 3, 9
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\view\pug-styles.css", "CSS", 0, 0, 142, 0, 0, 22, 164
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\src\view\report-skeleton.pug", "Pug", 0, 0, 0, 40, 0, 8, 48
"Total", "-", 1398, 6, 142, 40, 845, 189, 2620
